,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,생일
0,이종범94해SS,124,561,499,113,196,27,5,19,290,77,84,15,51,6,14,31,2,1,4,.393,.452,.581,1.033,.462,198.3,11.77,1970-08-15
1,테임즈15N1B,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,.381,.498,.790,1.288,.530,222.3,10.71,1986-11-10
2,심정수03현RF,133,601,460,110,154,16,1,53,331,142,6,2,124,9,17,63,14,0,8,.335,.478,.720,1.197,.498,210.7,10.19,1975-05-05
3,이종범97해SS,125,577,484,112,157,28,3,30,281,74,64,15,87,3,30,49,9,0,3,.324,.428,.581,1.009,.431,173.2,9.70,1970-08-15
4,이종범96해SS,113,525,449,94,149,28,1,25,254,76,57,12,67,7,15,39,4,0,2,.332,.425,.566,.991,.440,184.6,9.52,1970-08-15
5,이승엽02삼1B,133,617,511,123,165,42,2,47,352,126,1,2,89,15,5,109,11,0,2,.323,.436,.689,1.125,.472,198.5,8.96,1976-08-18
6,이승엽99삼1B,132,614,486,128,157,33,2,54,356,123,10,2,112,12,6,114,7,0,4,.323,.458,.733,1.190,.486,191.8,8.91,1976-08-18
7,이대호10롯3B,127,552,478,99,174,13,0,44,319,133,0,2,61,10,6,77,15,0,3,.364,.444,.667,1.111,.482,192.4,8.82,1982-06-21
8,장종훈91빙1B,126,558,464,104,160,24,4,35,297,114,21,11,76,15,8,88,12,0,3,.345,.450,.640,1.090,.482,204.2,8.79,1968-04-10
9,홍현우96해3B,126,549,443,83,147,30,4,17,236,67,18,9,97,4,10,64,8,1,4,.332,.453,.533,.985,.442,186.1,8.75,1972-09-28
10,양준혁96삼RF,126,530,436,89,151,33,2,28,272,87,23,18,82,6,8,76,4,0,5,.346,.452,.624,1.076,.474,207.0,8.56,1969-05-26
11,이승엽03삼1B,131,596,479,115,144,23,0,56,335,144,7,0,101,10,9,89,11,0,6,.301,.428,.699,1.127,.471,191.2,8.39,1976-08-18
12,브룸바04현LF,132,594,475,92,163,25,1,33,289,105,7,8,114,1,10,79,10,0,4,.343,.468,.608,1.076,.473,190.6,8.37,1974-04-21
13,박경완04SC,132,526,410,94,121,19,1,34,244,79,2,5,94,14,3,126,9,6,2,.295,.440,.595,1.036,.451,177.9,8.36,1972-07-11
14,강정호12넥SS,124,519,436,77,137,32,0,25,244,82,21,5,71,6,8,78,16,1,5,.314,.413,.560,.973,.438,179.8,8.23,1987-04-05
15,양준혁97삼RF,126,561,442,94,145,32,5,30,277,98,25,17,103,7,27,75,7,0,8,.328,.455,.627,1.082,.457,189.3,8.17,1969-05-26
16,이병규99LCF,131,599,550,117,192,43,8,30,341,99,31,3,34,9,6,65,11,2,4,.349,.394,.620,1.014,.426,155.2,8.07,1974-10-25
17,강정호14넥SS,117,501,418,103,149,36,2,40,309,117,3,3,68,13,2,106,8,0,2,.356,.459,.739,1.198,.500,185.6,8.05,1987-04-05
18,박석민12삼3B,127,549,443,79,138,19,3,23,232,91,2,3,72,27,5,83,8,2,5,.312,.433,.524,.957,.438,179.9,7.89,1985-06-22
19,호세01롯RF,117,499,367,90,123,20,2,36,255,102,7,4,127,1,28,72,4,0,4,.335,.503,.695,1.198,.498,199.3,7.89,1965-05-02
20,박병호15넥1B,140,622,528,129,181,35,1,53,377,146,10,3,78,12,6,161,10,0,4,.343,.436,.714,1.150,.481,181.9,7.76,1986-07-10
21,최형우16삼LF,138,618,519,99,195,46,2,31,338,144,2,2,83,9,8,83,12,0,7,.376,.464,.651,1.116,.480,177.8,7.75,1983-12-16
22,장종훈92빙1B,125,556,431,106,129,28,2,41,284,119,13,5,106,13,15,99,5,0,6,.299,.446,.659,1.105,.469,188.2,7.74,1968-04-10
23,최형우11삼LF,133,571,480,80,163,37,3,30,296,118,4,3,76,5,15,88,8,0,10,.340,.427,.617,1.044,.457,182.2,7.64,1983-12-16
24,서건창14넥2B,128,616,543,135,201,41,17,7,297,67,48,17,59,8,0,47,1,4,2,.370,.438,.547,.985,.437,150.9,7.63,1989-08-22
25,박재홍96현CF,126,547,481,75,142,29,4,30,269,108,36,17,53,7,7,107,7,0,6,.295,.369,.559,.929,.411,166.2,7.50,1973-09-07
26,박경완00현C,130,517,408,83,115,16,0,40,251,95,7,4,87,12,7,112,7,6,4,.282,.419,.615,1.034,.432,162.6,7.47,1972-07-11
27,김재환17두LF,144,636,544,110,185,34,2,35,328,115,4,1,81,7,10,123,8,0,4,.340,.429,.603,1.032,.440,170.9,7.46,1988-09-22
28,심정수02현RF,133,577,502,101,161,22,1,46,323,119,2,1,69,3,10,114,13,0,3,.321,.404,.643,1.047,.440,177.7,7.45,1975-05-05
29,김동주07두3B,119,481,382,68,123,24,0,19,204,78,11,2,83,14,11,55,10,0,2,.322,.457,.534,.991,.449,184.7,7.42,1976-02-03
30,장효조83삼LF,92,386,317,61,117,19,3,18,196,62,22,2,58,6,6,39,1,0,5,.369,.469,.618,1.087,.483,215.4,7.40,1956-07-06
31,유지현94LSS,126,574,482,109,147,20,0,15,212,51,51,10,64,8,0,60,4,14,6,.305,.391,.440,.831,.376,141.5,7.35,1971-05-25
32,김기태97쌍1B,111,478,390,95,134,30,3,26,248,79,10,7,84,2,14,54,11,0,2,.344,.460,.636,1.096,.472,202.6,7.30,1969-05-23
33,최정12S3B,130,553,474,85,142,33,1,26,255,84,20,8,49,21,7,98,8,3,6,.300,.386,.538,.923,.416,164.7,7.29,1987-02-28
34,김기태98쌍1B,126,541,434,84,134,28,4,31,263,90,10,5,104,0,15,79,11,0,3,.309,.440,.606,1.046,.445,186.5,7.28,1969-05-23
35,김동주00두3B,127,539,469,78,159,29,1,31,283,106,5,2,51,13,1,65,17,0,6,.339,.414,.603,1.017,.439,168.2,7.28,1976-02-03
36,이정훈92빙CF,111,437,369,89,133,17,2,25,229,68,21,3,46,10,1,27,6,3,9,.360,.436,.621,1.056,.460,182.0,7.18,1963-08-28
37,마해영99롯1B,132,579,503,111,187,38,4,35,338,119,6,9,59,10,5,65,11,0,7,.372,.442,.672,1.114,.468,180.7,7.18,1970-08-14
38,김현수08두LF,126,558,470,83,168,34,5,9,239,89,13,8,80,5,1,40,12,0,2,.357,.454,.509,.963,.446,176.5,7.14,1988-01-12
39,최정13S3B,120,525,434,75,137,18,0,28,239,83,24,8,64,24,9,109,10,1,2,.316,.429,.551,.980,.441,167.3,7.11,1987-02-28
40,이종범03KCF,132,595,524,110,165,43,1,20,270,61,50,10,59,7,5,58,8,1,4,.315,.389,.515,.904,.399,142.8,7.11,1970-08-15
41,최익성97삼CF,122,568,480,107,142,25,2,22,237,65,33,5,61,18,1,81,6,7,2,.296,.394,.494,.888,.395,148.0,7.10,1972-02-11
42,박병호13넥1B,128,556,450,91,143,17,0,37,271,117,10,2,92,8,4,96,7,0,6,.318,.437,.602,1.039,.462,181.1,7.02,1986-07-10
43,박건우17두CF,131,543,483,91,177,40,2,20,281,78,20,3,41,10,2,64,15,5,4,.366,.424,.582,1.006,.433,163.8,7.01,1990-09-08
44,이대호07롯1B,121,514,415,79,139,21,1,29,249,87,1,0,81,13,25,55,9,0,5,.335,.453,.600,1.053,.461,194.2,7.00,1982-06-21
45,김태균12한1B,126,513,416,61,151,24,0,16,223,80,3,1,81,11,8,69,11,0,5,.363,.474,.536,1.010,.463,195.6,6.97,1982-05-29
46,한대화90해3B,119,500,418,73,140,20,3,15,211,86,10,4,76,0,7,53,10,0,6,.335,.432,.505,.937,.432,168.6,6.96,1960-07-08
47,장종훈90빙SS,120,496,411,73,119,15,3,28,224,91,8,7,69,11,5,84,3,0,5,.290,.401,.545,.946,.429,165.1,6.94,1968-04-10
48,김재환18두LF,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,.334,.405,.657,1.062,.438,168.8,6.94,1988-09-22
49,이대호11롯1B,133,570,493,76,176,26,1,27,285,113,2,0,63,8,8,60,22,0,6,.357,.433,.578,1.011,.455,180.0,6.89,1982-06-21
